Date,MMM,AXP,AMGN.O,AAPL.O,BA,CAT,CVX,CSCO.O,KO,DIS,DOW,GS,HD,HON.O,IBM,INTC.O,JNJ,JPM,MCD,MRK,MSFT.O,NKE,PG,CRM,TRV,UNH,V,VZ,WBA.O,WMT
2023/4/6,-0.71%,-1.40%,-0.02%,0.55%,0.65%,-2.04%,-1.31%,-1.06%,0.06%,0.06%,0.04%,0.27%,-0.02%,0.54%,-1.24%,-0.06%,-0.28%,-0.11%,0.31%,0.38%,2.55%,-0.56%,0.63%,-1.41%,0.56%,0.70%,-1.57%,-0.96%,-0.94%,0.75%
2023/4/5,0.04%,-0.91%,2.36%,-1.13%,-1.82%,-1.80%,0.50%,0.00%,0.95%,0.34%,0.70%,-0.35%,-2.13%,-0.79%,0.41%,-0.82%,4.49%,-0.63%,-0.09%,2.83%,-0.99%,-2.26%,0.69%,-0.96%,1.00%,3.24%,1.16%,0.22%,0.75%,1.66%
2023/4/4,-2.22%,-0.74%,1.26%,-0.32%,-0.69%,-5.40%,-0.54%,-0.94%,-0.30%,-0.19%,-1.93%,-1.19%,-0.93%,-1.21%,-0.35%,0.64%,1.05%,-1.34%,0.05%,-0.04%,-0.02%,1.66%,0.48%,0.36%,-2.12%,-0.19%,1.10%,-0.59%,1.10%,-0.98%
2023/4/3,-0.51%,-0.71%,1.11%,0.77%,1.39%,0.45%,4.16%,0.07%,0.60%,-0.37%,0.93%,-0.18%,0.88%,1.13%,0.74%,0.67%,1.19%,-0.12%,0.90%,2.33%,-0.37%,-0.79%,0.55%,-1.65%,0.51%,4.57%,0.85%,1.57%,2.54%,0.84%
2023/3/31,2.27%,1.56%,0.10%,1.56%,0.66%,1.92%,0.47%,1.64%,0.29%,2.07%,1.52%,1.86%,3.42%,1.06%,1.45%,1.81%,1.02%,1.21%,0.66%,0.44%,1.50%,2.11%,0.84%,1.62%,0.35%,0.54%,0.59%,1.39%,-0.14%,1.22%
2023/3/30,-0.40%,-0.72%,0.19%,0.99%,1.48%,0.69%,0.95%,0.51%,-0.02%,1.27%,0.75%,0.13%,0.71%,0.03%,-0.38%,1.81%,0.08%,-0.30%,0.13%,0.95%,1.26%,-0.32%,0.44%,-0.02%,0.57%,0.74%,0.47%,-0.42%,1.41%,1.00%
2023/3/29,1.43%,2.75%,1.07%,1.98%,1.47%,1.29%,0.86%,1.55%,0.72%,2.16%,1.30%,0.72%,0.90%,0.61%,0.29%,7.61%,0.98%,0.20%,0.58%,-0.58%,1.92%,2.22%,0.31%,2.26%,2.40%,-1.27%,1.26%,1.35%,0.98%,0.43%
2023/3/28,0.25%,-2.40%,0.73%,-0.40%,2.19%,0.99%,1.17%,-0.30%,0.11%,-0.84%,1.75%,-0.03%,-0.16%,-0.04%,0.02%,0.38%,-0.97%,0.30%,0.73%,-1.31%,-0.42%,0.05%,0.28%,0.54%,-0.28%,-1.93%,-0.13%,-0.67%,2.67%,-0.39%
2023/3/27,0.35%,2.09%,-0.53%,-1.23%,1.54%,0.46%,1.02%,0.06%,0.74%,1.64%,0.42%,1.91%,-0.62%,-0.09%,3.21%,-0.61%,0.43%,2.87%,0.93%,2.03%,-1.49%,-2.40%,-0.52%,0.63%,0.87%,1.24%,1.04%,0.35%,0.73%,1.67%
2023/3/24,0.14%,-1.83%,2.11%,0.83%,-0.19%,-1.11%,1.00%,1.57%,1.64%,-1.83%,0.25%,-0.72%,-0.31%,0.66%,1.56%,1.14%,1.01%,-1.52%,0.63%,0.55%,1.05%,-0.21%,2.04%,1.40%,0.64%,1.29%,0.78%,-0.70%,1.14%,0.82%
2023/3/23,-0.53%,0.01%,1.42%,0.70%,0.89%,-0.23%,-0.99%,0.55%,-0.22%,0.98%,0.53%,0.38%,0.46%,-0.13%,-0.55%,3.20%,0.05%,-0.27%,0.65%,-0.16%,1.97%,1.23%,-0.14%,0.50%,-1.66%,-1.18%,0.16%,1.16%,-0.52%,0.81%
2023/3/22,-2.64%,-1.10%,-1.34%,-0.91%,-4.17%,-2.21%,-2.03%,-2.39%,-0.45%,-1.70%,-1.31%,-1.14%,-2.36%,-2.09%,-1.99%,-1.16%,-1.85%,-2.58%,-0.87%,-1.08%,-0.54%,-4.86%,-0.06%,-1.15%,-2.98%,-0.95%,-1.14%,-0.86%,-3.10%,-0.64%
2023/3/21,-0.02%,3.67%,-0.75%,1.19%,-0.03%,2.09%,3.06%,-0.53%,-0.46%,2.46%,1.56%,2.50%,0.06%,0.67%,0.50%,-2.40%,0.00%,2.68%,-0.20%,-0.29%,0.57%,3.64%,-0.72%,1.85%,1.80%,0.66%,0.83%,1.74%,1.05%,-0.34%
2023/3/20,1.25%,1.42%,2.15%,1.55%,1.85%,2.47%,1.47%,1.49%,0.97%,1.09%,2.48%,1.97%,0.30%,2.84%,1.82%,-2.18%,0.99%,1.06%,1.32%,1.68%,-2.58%,0.67%,1.54%,0.22%,2.23%,1.59%,1.74%,0.35%,0.85%,1.08%
2023/3/17,-1.14%,-2.62%,-2.04%,-0.55%,-1.05%,-1.69%,-1.26%,0.14%,-0.46%,-1.16%,-1.75%,-3.67%,0.58%,-2.38%,-0.81%,-1.23%,-1.07%,-3.78%,-1.25%,-3.02%,1.17%,-0.22%,0.03%,-1.31%,-4.17%,-0.53%,0.57%,-0.03%,-1.50%,0.81%
2023/3/16,1.39%,0.58%,-0.14%,1.87%,2.51%,0.67%,0.32%,2.16%,-0.22%,1.28%,0.85%,0.93%,-0.43%,0.54%,1.15%,6.23%,-0.21%,1.94%,1.59%,-0.27%,4.05%,2.10%,0.75%,2.40%,3.44%,1.42%,-1.30%,0.50%,-0.39%,-0.97%
2023/3/15,0.00%,-2.50%,1.87%,0.26%,-4.38%,-3.73%,-4.33%,0.02%,0.67%,-0.28%,-3.46%,-3.09%,0.84%,-2.51%,-1.10%,1.43%,0.28%,-4.72%,0.17%,0.62%,1.78%,-0.70%,1.42%,0.01%,-3.07%,0.18%,0.49%,-1.05%,0.75%,1.12%
2023/3/14,-0.70%,3.98%,-1.12%,1.41%,1.92%,0.43%,1.29%,1.32%,0.37%,0.82%,-0.21%,2.10%,-0.33%,-0.07%,-0.74%,3.93%,0.56%,2.57%,1.07%,1.17%,2.71%,1.83%,1.24%,4.20%,-0.27%,0.19%,0.93%,1.95%,-0.83%,0.53%
2023/3/13,-0.54%,-4.87%,2.33%,1.33%,0.15%,-1.02%,-0.60%,-0.31%,1.01%,-1.04%,-2.75%,-3.71%,0.07%,-0.12%,0.10%,-0.99%,0.96%,-1.80%,0.40%,-1.82%,2.14%,-0.54%,0.69%,1.35%,-1.97%,0.73%,-0.38%,-0.77%,0.93%,0.29%
2023/3/10,-1.38%,-3.73%,0.92%,-1.39%,0.91%,-5.79%,-0.52%,-0.51%,-0.42%,-2.67%,-2.21%,-4.22%,-0.59%,0.23%,-0.56%,2.95%,0.24%,2.54%,0.15%,0.08%,-1.48%,-0.32%,0.45%,-3.10%,1.01%,-0.99%,0.36%,-1.76%,-0.09%,-0.15%
2023/3/9,-1.53%,-1.55%,-1.16%,-1.49%,-2.88%,-3.12%,-1.52%,-0.61%,-0.97%,-3.18%,-2.06%,-2.06%,-1.20%,-1.38%,-1.48%,1.77%,-1.12%,-5.41%,-1.39%,-0.63%,-0.54%,-1.66%,-0.73%,-2.31%,-2.17%,-1.21%,-2.61%,-0.98%,-3.45%,-0.67%
2023/3/8,0.07%,-0.28%,-0.13%,0.84%,-0.35%,1.05%,-0.63%,0.41%,0.05%,0.24%,0.82%,0.93%,0.27%,-0.03%,-0.16%,1.76%,-0.73%,-0.59%,-0.67%,-2.69%,-0.18%,0.23%,0.01%,-0.20%,-1.44%,-0.69%,-1.00%,-0.44%,1.00%,-0.83%
2023/3/7,-2.58%,-2.09%,-2.72%,-1.45%,-1.89%,-3.09%,-1.29%,-1.03%,-0.58%,-1.59%,-2.29%,-3.07%,-2.52%,-0.72%,-1.49%,-1.77%,-0.94%,-2.94%,-1.30%,0.15%,-1.06%,-0.48%,-1.99%,-0.26%,-1.63%,-1.44%,-0.63%,-1.58%,-3.70%,-1.00%
2023/3/6,-1.20%,-0.02%,0.13%,1.85%,-1.48%,-0.52%,0.73%,0.28%,1.55%,-0.47%,-2.07%,-0.01%,-0.08%,0.11%,0.42%,-1.55%,1.00%,-0.58%,0.58%,3.95%,0.62%,-0.64%,-0.43%,-1.41%,-0.13%,0.46%,-0.29%,1.33%,-1.77%,-0.01%
2023/3/3,1.24%,2.14%,0.03%,3.51%,2.40%,1.24%,1.48%,1.55%,-0.47%,2.24%,-0.21%,2.29%,1.85%,1.22%,0.55%,0.76%,1.03%,1.84%,0.56%,-0.12%,1.66%,1.14%,0.73%,-0.09%,0.22%,0.18%,-0.39%,2.15%,2.01%,0.12%
2023/3/2,-0.28%,-0.32%,-0.61%,0.41%,2.69%,1.41%,0.31%,0.39%,1.46%,0.39%,0.72%,0.83%,0.77%,0.81%,0.58%,3.43%,-0.08%,-1.04%,1.85%,0.34%,1.97%,0.84%,1.65%,11.50%,-0.47%,0.52%,0.29%,0.32%,0.51%,0.25%
2023/3/1,2.29%,1.10%,1.96%,-1.42%,1.49%,3.81%,0.80%,-0.17%,-1.09%,-1.07%,1.43%,-1.54%,-1.94%,0.73%,-0.86%,1.60%,-0.45%,-0.56%,-0.45%,0.39%,-1.26%,-0.18%,0.07%,2.29%,-0.58%,-0.15%,-1.31%,-0.72%,-0.93%,-1.39%
2023/2/28,-0.49%,0.40%,-1.19%,-0.34%,0.54%,-0.18%,-1.26%,-0.64%,-0.52%,-0.84%,0.37%,-3.80%,0.18%,-0.50%,-0.91%,0.12%,-1.52%,0.84%,-0.33%,-2.85%,-0.30%,0.22%,-1.14%,0.29%,-0.11%,-1.53%,-0.18%,-0.19%,0.40%,0.49%
2023/2/27,0.44%,-0.55%,0.34%,0.82%,1.17%,1.61%,0.25%,0.52%,-0.03%,0.15%,-1.38%,0.46%,-0.22%,0.21%,-0.06%,-0.95%,-0.22%,0.87%,0.42%,-0.48%,0.38%,0.42%,-0.09%,0.58%,0.00%,-0.21%,0.36%,0.36%,-1.15%,-0.72%
2023/2/24,-1.02%,-0.51%,-1.67%,-1.80%,-4.80%,-0.75%,0.30%,-1.48%,-0.42%,-1.41%,1.05%,0.09%,-0.89%,-1.53%,-0.17%,-1.84%,-1.12%,0.90%,-1.16%,-0.63%,-2.18%,-1.60%,-0.56%,-1.17%,-0.08%,-1.50%,0.55%,-0.71%,-1.13%,0.27%
2023/2/23,-0.03%,0.25%,0.62%,0.33%,1.15%,0.03%,0.99%,-0.20%,0.18%,0.05%,0.32%,0.73%,1.02%,-0.24%,-0.14%,0.55%,-0.03%,0.80%,-0.69%,1.31%,1.30%,0.05%,-0.32%,0.47%,-0.35%,0.57%,-1.91%,0.50%,0.36%,-1.49%
2023/2/22,-0.28%,0.70%,-0.87%,0.29%,0.12%,-1.17%,-0.40%,-0.76%,0.30%,-0.40%,0.30%,-0.06%,0.27%,-0.65%,-0.56%,-2.26%,-0.14%,-0.77%,0.03%,0.08%,-0.46%,-0.99%,0.42%,1.08%,0.47%,-0.49%,0.20%,-0.27%,-0.22%,-2.10%
2023/2/21,-3.31%,-2.15%,-0.95%,-2.67%,-2.90%,-2.86%,-1.14%,-2.13%,-0.53%,-2.97%,-2.22%,-2.00%,-7.06%,-2.31%,-2.45%,-5.61%,-1.49%,-1.83%,-0.53%,-0.41%,-2.09%,-3.00%,-0.07%,-2.15%,-0.27%,-1.56%,-2.54%,-1.32%,-1.63%,0.61%
2023/2/17,0.88%,-0.36%,2.69%,-0.75%,-0.26%,0.52%,-2.23%,-0.43%,1.52%,-0.58%,-0.94%,-0.46%,-1.02%,1.03%,0.01%,-2.09%,1.36%,0.30%,1.56%,2.83%,-1.56%,0.37%,2.09%,-1.75%,1.47%,2.41%,0.95%,-1.01%,1.21%,1.50%
2023/2/16,-2.43%,-1.51%,-2.43%,-1.04%,-2.41%,-0.88%,-1.44%,5.24%,-0.62%,-3.12%,-1.81%,-1.11%,0.17%,-1.17%,-1.03%,-2.25%,-0.71%,-1.38%,-0.27%,-1.09%,-2.66%,-2.43%,-1.31%,-1.75%,-1.17%,-0.79%,-1.34%,-1.35%,-0.55%,-1.57%
2023/2/15,0.51%,-0.19%,-0.40%,1.39%,-0.46%,1.78%,-1.92%,1.57%,0.00%,1.47%,0.00%,0.69%,0.71%,0.35%,0.29%,0.73%,-1.65%,0.42%,-0.02%,-0.97%,-1.05%,1.01%,-0.23%,0.67%,0.59%,-0.32%,0.12%,-0.20%,-0.63%,0.74%
2023/2/14,-0.93%,-0.17%,-1.08%,-0.42%,1.30%,-1.53%,0.77%,-0.33%,-1.67%,0.00%,-0.93%,-0.60%,-1.58%,-1.17%,-0.98%,0.32%,-0.44%,0.44%,0.15%,-0.74%,0.31%,0.84%,-0.56%,-0.65%,-1.85%,-0.51%,0.02%,0.22%,-0.97%,-0.29%
2023/2/13,1.23%,1.16%,0.48%,1.88%,1.30%,0.19%,-0.56%,1.27%,1.64%,-0.37%,0.84%,0.74%,2.21%,1.45%,1.29%,2.70%,0.37%,1.08%,1.44%,0.90%,3.12%,2.39%,1.31%,2.42%,0.46%,0.22%,0.77%,0.74%,1.53%,1.52%
2023/2/10,0.84%,-0.07%,1.04%,0.09%,0.42%,0.56%,2.10%,1.13%,0.00%,-2.08%,1.25%,0.89%,0.31%,0.63%,1.38%,0.25%,0.46%,0.44%,0.68%,1.73%,-0.20%,0.04%,0.88%,-3.82%,0.75%,1.75%,0.50%,-0.94%,2.07%,1.55%
2023/2/9,-2.01%,0.21%,-0.08%,-0.69%,-0.71%,-1.04%,-0.92%,-0.49%,-0.17%,-1.27%,-1.22%,-1.90%,-1.63%,-1.48%,-1.64%,-1.81%,-1.35%,-1.56%,-0.82%,0.08%,-1.17%,-0.59%,-1.10%,2.38%,-1.08%,0.52%,-1.75%,-0.37%,-2.05%,0.93%
2023/2/8,-1.41%,0.17%,-1.56%,-1.77%,-0.59%,-0.32%,-2.35%,-1.84%,-0.58%,0.13%,-1.16%,0.19%,-1.36%,-1.58%,0.10%,-2.79%,0.13%,-0.70%,-1.69%,0.91%,-0.31%,-1.93%,-1.04%,-0.96%,-0.86%,1.33%,-0.07%,-0.48%,-0.49%,-0.54%
2023/2/7,0.34%,1.26%,0.06%,1.92%,3.84%,-0.70%,2.62%,0.57%,-0.17%,1.60%,0.70%,0.97%,-1.24%,0.70%,-0.25%,1.25%,0.02%,1.22%,-0.22%,1.59%,4.20%,-0.32%,-0.98%,1.32%,1.62%,0.35%,-1.77%,0.82%,1.27%,0.21%
2023/2/6,-0.84%,-1.33%,-0.54%,-1.79%,0.39%,1.48%,0.11%,-2.18%,0.57%,-0.76%,0.15%,0.23%,-0.67%,0.67%,-0.55%,-5.38%,-0.76%,0.59%,1.40%,1.06%,-0.61%,-1.47%,-0.85%,-1.16%,1.77%,0.68%,-0.55%,-0.30%,-2.18%,-0.73%
2023/2/3,-2.33%,3.31%,-0.55%,2.44%,-1.59%,1.17%,0.26%,-1.40%,-0.75%,-2.21%,0.08%,0.13%,-2.44%,-2.26%,0.40%,0.43%,-0.56%,1.55%,0.39%,-0.50%,-2.36%,-1.12%,0.31%,-2.06%,0.56%,0.25%,-0.77%,0.25%,-1.64%,-1.33%
2023/2/2,3.82%,-0.28%,0.05%,3.71%,-2.52%,-1.86%,-1.37%,1.54%,-1.71%,3.49%,-0.45%,1.03%,3.57%,0.32%,0.96%,3.85%,0.38%,-0.47%,-1.15%,-3.29%,4.69%,-0.34%,-0.71%,1.64%,-1.88%,-5.27%,0.34%,-0.58%,1.43%,-0.73%
2023/2/1,0.68%,-0.75%,-2.37%,0.79%,0.82%,-1.09%,-1.53%,-0.21%,0.02%,0.83%,1.47%,-0.03%,1.21%,-0.84%,0.27%,2.87%,0.92%,-0.26%,-0.42%,-0.40%,1.99%,1.70%,0.57%,2.29%,-3.08%,-0.44%,0.29%,0.30%,0.87%,0.56%
2023/1/31,2.22%,1.31%,0.32%,0.90%,1.59%,-3.52%,-0.10%,0.93%,1.12%,0.84%,2.42%,2.34%,3.16%,1.31%,-0.42%,1.11%,0.88%,0.60%,-1.29%,1.24%,2.10%,0.76%,0.97%,1.95%,1.71%,2.76%,1.27%,0.48%,0.90%,1.21%
2023/1/30,-2.32%,0.20%,-0.81%,-2.01%,-0.71%,-1.15%,-2.93%,-0.60%,0.25%,-1.78%,-1.73%,1.06%,-0.77%,-1.13%,0.68%,-0.75%,-3.70%,-0.85%,-0.58%,0.67%,-2.20%,-0.91%,0.31%,0.14%,-0.45%,-0.05%,1.01%,-1.01%,-1.72%,-0.80%
2023/1/27,1.50%,10.54%,-0.48%,1.37%,-0.73%,0.92%,-4.44%,0.35%,-0.53%,-0.15%,1.46%,-0.36%,0.92%,-0.58%,-0.04%,-6.41%,-0.39%,0.24%,-0.82%,-1.39%,0.06%,0.00%,-0.41%,-0.35%,-1.74%,-1.31%,0.92%,2.99%,1.84%,0.77%
2023/1/26,0.55%,-0.57%,-0.65%,1.48%,0.02%,1.42%,4.86%,0.75%,-0.20%,1.46%,0.40%,1.53%,-1.09%,1.30%,-4.48%,1.31%,-0.37%,0.62%,0.63%,-1.58%,3.07%,0.56%,-0.40%,5.71%,0.72%,0.00%,-0.15%,-0.08%,0.61%,-0.09%
2023/1/25,-1.80%,0.93%,-1.22%,-0.47%,0.33%,0.32%,-0.97%,0.36%,0.63%,2.00%,-0.53%,0.37%,-0.14%,-0.13%,-0.52%,-0.74%,0.71%,0.48%,1.28%,0.06%,-0.59%,-0.01%,-0.07%,0.85%,-1.30%,0.18%,-0.22%,0.45%,1.06%,-0.48%
2023/1/24,-6.21%,0.86%,-0.49%,1.01%,0.96%,1.94%,0.09%,0.65%,0.53%,0.29%,0.28%,-0.23%,0.70%,1.21%,-0.26%,-1.16%,0.00%,0.86%,0.10%,-1.24%,-0.22%,-1.14%,0.55%,-0.65%,3.70%,1.19%,1.99%,-0.13%,-2.10%,0.27%
2023/1/23,1.63%,1.58%,-0.86%,2.35%,1.55%,1.20%,-0.13%,1.54%,0.25%,2.14%,1.04%,2.14%,0.15%,1.20%,0.47%,3.59%,-0.25%,1.62%,0.26%,-0.05%,0.98%,1.32%,-1.34%,3.05%,0.56%,-0.19%,-0.92%,-0.06%,2.20%,1.49%
2023/1/20,1.87%,3.23%,0.46%,1.92%,-0.16%,1.61%,1.06%,0.69%,0.60%,4.44%,1.48%,-2.54%,1.33%,0.68%,0.41%,2.81%,-0.47%,0.24%,1.90%,0.04%,3.57%,1.68%,0.39%,3.31%,0.70%,0.49%,-0.15%,1.77%,1.33%,1.23%
2023/1/19,-3.52%,-2.37%,-0.89%,0.04%,-1.11%,-2.80%,1.00%,-0.94%,-0.15%,0.04%,-0.42%,0.48%,-3.96%,-1.75%,0.15%,-1.35%,-0.14%,-1.33%,-0.92%,1.02%,-1.65%,-1.50%,-2.73%,0.66%,0.22%,1.71%,0.23%,0.43%,-0.56%,-1.43%
2023/1/18,-3.04%,-2.17%,-1.87%,-0.54%,-0.95%,-1.34%,-1.81%,-2.45%,-3.03%,-0.87%,-0.98%,-0.24%,-1.17%,-3.77%,-3.29%,-2.67%,-1.51%,-3.00%,-2.94%,-1.50%,-1.89%,-1.33%,-2.68%,-2.03%,-0.74%,-1.82%,-2.15%,-1.59%,-1.98%,-2.47%
2023/1/17,-2.25%,-1.29%,-0.85%,0.88%,-1.27%,-0.85%,1.65%,-1.64%,0.41%,0.51%,-2.18%,-6.44%,-1.11%,-2.02%,-0.48%,-1.69%,-0.62%,-1.55%,1.94%,-1.60%,0.47%,-0.55%,-0.29%,-0.70%,-4.60%,-0.92%,-2.41%,-0.03%,-1.22%,-0.61%
2023/1/13,0.12%,0.54%,0.30%,1.01%,-0.09%,1.33%,0.27%,-0.24%,0.36%,-0.41%,0.27%,1.10%,0.41%,0.29%,0.23%,-0.59%,-0.33%,2.52%,0.82%,0.43%,0.30%,0.75%,0.71%,-0.06%,1.01%,-1.23%,0.12%,-0.25%,0.33%,0.33%
2023/1/12,0.18%,0.65%,-0.73%,-0.06%,3.02%,1.73%,1.07%,-0.43%,-1.29%,3.61%,1.63%,1.50%,0.26%,1.73%,0.20%,1.47%,-0.50%,-0.10%,-0.79%,0.63%,1.16%,-0.04%,-0.56%,3.24%,0.19%,0.46%,1.53%,0.68%,-1.24%,-0.90%
2023/1/11,0.77%,1.26%,-0.35%,2.11%,0.65%,0.09%,-0.48%,0.82%,-0.19%,0.81%,1.97%,1.99%,2.61%,0.45%,0.32%,1.39%,-0.16%,0.74%,-0.04%,0.23%,3.02%,1.67%,-0.81%,-1.72%,0.21%,1.52%,-1.84%,0.46%,1.14%,0.88%
2023/1/10,1.06%,1.06%,1.39%,0.45%,-0.90%,1.58%,0.49%,0.47%,-0.77%,0.83%,2.15%,1.24%,0.89%,0.32%,0.87%,0.44%,-0.24%,0.90%,0.62%,0.39%,0.76%,0.79%,-0.10%,0.23%,1.11%,-0.83%,1.40%,1.14%,0.96%,-0.06%
2023/1/9,0.06%,0.15%,-1.85%,0.41%,-2.08%,-0.90%,-0.78%,0.54%,-1.25%,0.91%,0.47%,1.41%,0.09%,0.19%,-0.10%,2.02%,-2.59%,-0.41%,-0.82%,-3.88%,0.97%,0.26%,-1.22%,4.69%,-2.45%,0.01%,-1.94%,0.39%,-0.71%,-1.25%
2023/1/6,3.06%,2.55%,3.13%,3.68%,3.91%,3.57%,0.75%,3.07%,1.93%,2.18%,3.99%,1.26%,0.65%,2.84%,1.84%,4.25%,0.81%,1.91%,2.79%,1.06%,1.18%,3.24%,2.38%,3.06%,3.37%,0.01%,1.18%,3.15%,4.04%,2.45%
2023/1/5,-1.75%,-2.73%,0.93%,-1.06%,0.66%,-0.45%,1.80%,-1.41%,-1.14%,-0.07%,1.11%,-1.13%,-1.33%,-2.65%,-1.04%,-0.43%,-0.74%,-0.76%,-0.84%,1.39%,-2.96%,-0.49%,-1.24%,-2.33%,0.17%,-2.88%,1.39%,-0.71%,-6.13%,-0.34%
2023/1/4,2.19%,2.32%,1.05%,1.03%,4.22%,1.04%,-1.06%,-0.81%,-0.05%,3.38%,2.53%,0.43%,1.21%,-1.99%,0.74%,3.55%,1.09%,0.93%,0.02%,0.85%,-4.37%,2.07%,0.44%,3.57%,0.06%,-2.73%,2.52%,2.52%,0.81%,0.11%
2023/1/3,2.13%,-0.43%,-0.38%,-3.74%,2.57%,-0.28%,-3.06%,0.63%,-1.04%,2.41%,1.29%,0.83%,0.02%,0.00%,0.47%,1.14%,0.87%,0.76%,0.30%,0.17%,-0.10%,1.49%,0.01%,1.65%,-0.20%,-2.18%,1.83%,-0.18%,-0.46%,1.28%
2022/12/30,-0.54%,0.29%,-0.20%,0.25%,0.84%,-0.27%,0.66%,0.29%,-0.53%,-0.34%,-0.51%,-0.01%,-1.42%,-0.21%,-0.12%,0.84%,-0.51%,0.66%,-0.90%,0.12%,-0.49%,-0.29%,-0.68%,0.04%,-1.03%,0.06%,0.36%,-0.14%,-0.29%,-0.25%
2022/12/29,1.93%,2.30%,0.67%,2.83%,0.28%,0.34%,0.76%,0.91%,0.60%,3.58%,1.32%,0.75%,1.48%,1.21%,0.74%,2.62%,0.51%,0.57%,0.31%,-0.23%,2.76%,2.06%,0.41%,3.17%,0.70%,0.27%,1.16%,1.50%,-0.29%,0.61%
2022/12/28,-1.61%,-1.63%,-0.75%,-3.07%,-0.54%,-1.55%,-1.48%,-0.97%,-1.00%,-2.55%,-2.34%,-0.32%,-1.20%,-1.26%,-1.69%,-1.54%,-0.43%,0.55%,-0.65%,-0.93%,-1.03%,-2.19%,-1.29%,-1.68%,-1.23%,-0.67%,-1.12%,-0.63%,-1.91%,-1.75%
2022/12/27,0.07%,-0.43%,-0.20%,-1.39%,0.18%,1.36%,1.26%,0.11%,0.61%,-1.86%,0.65%,-1.02%,0.26%,0.48%,0.54%,-0.57%,-0.03%,0.35%,-0.27%,0.23%,-0.74%,1.13%,0.87%,0.94%,0.53%,0.13%,2.19%,0.22%,-0.83%,0.03%
2022/12/23,-1.19%,1.18%,-0.51%,-0.28%,0.43%,0.98%,3.09%,0.34%,0.76%,1.55%,1.38%,-0.02%,0.83%,0.73%,0.55%,0.46%,0.25%,0.47%,0.68%,0.56%,0.23%,-0.39%,0.28%,0.19%,1.22%,0.80%,0.26%,0.38%,0.49%,0.20%
2022/12/22,-1.51%,-1.22%,-0.38%,-2.38%,-3.95%,-1.73%,-1.50%,-0.71%,-0.72%,-0.29%,-0.99%,-1.31%,-1.01%,-1.30%,-0.89%,-3.21%,-0.37%,-1.13%,-0.89%,0.12%,-2.55%,0.80%,0.23%,-0.85%,-1.17%,-0.09%,1.40%,-0.85%,-0.41%,-1.17%
2022/12/21,2.19%,0.96%,0.57%,2.38%,4.09%,2.80%,1.18%,0.61%,1.61%,-0.11%,2.03%,1.65%,1.44%,1.71%,0.61%,1.48%,1.14%,1.12%,0.34%,1.28%,1.09%,12.18%,0.92%,1.44%,1.95%,1.41%,2.14%,0.71%,-2.35%,0.78%
2022/12/20,-1.08%,0.48%,-0.36%,-0.05%,1.41%,1.23%,1.64%,-0.06%,-0.08%,1.45%,0.67%,-0.03%,-0.78%,0.99%,1.74%,-1.31%,0.11%,0.48%,0.53%,0.25%,0.56%,0.16%,0.04%,-0.43%,1.24%,-0.65%,-0.11%,0.26%,0.53%,0.88%
2022/12/19,0.36%,-0.88%,-0.64%,-1.59%,0.53%,-0.18%,0.69%,-0.86%,0.14%,-4.77%,-0.94%,-0.50%,-1.86%,-0.16%,-0.92%,-0.48%,-0.11%,0.60%,-0.11%,0.22%,-1.73%,-2.74%,-0.03%,0.58%,0.39%,-0.02%,-0.24%,-1.00%,0.69%,0.04%
2022/12/16,-0.56%,-2.61%,0.48%,-1.46%,0.53%,0.89%,-1.36%,-0.71%,-0.57%,-0.45%,0.55%,-0.99%,-1.30%,0.37%,-1.55%,-0.85%,-1.03%,-0.62%,-2.06%,-0.39%,-1.73%,-2.36%,-0.44%,-1.66%,-0.42%,-0.75%,-1.72%,-0.49%,-1.21%,-1.80%
2022/12/15,-2.94%,-2.52%,-1.84%,-4.69%,-2.41%,-1.63%,-0.75%,-2.33%,-1.38%,-3.89%,-3.56%,-2.93%,-1.75%,-2.68%,-5.00%,-3.93%,-1.26%,-2.48%,-1.02%,-1.72%,-3.19%,-2.64%,-1.13%,-3.20%,-1.64%,-1.98%,0.85%,-2.54%,-2.71%,-0.89%
2022/12/14,-0.94%,-2.16%,-0.42%,-1.55%,0.60%,-0.43%,-0.69%,-0.68%,0.00%,-0.58%,-0.39%,-2.25%,0.16%,-0.11%,-0.47%,-1.64%,0.31%,-0.50%,0.09%,0.58%,0.12%,-1.24%,0.39%,-0.64%,-0.22%,0.03%,-1.08%,0.13%,-0.97%,-0.56%
2022/12/13,0.35%,0.13%,-1.63%,0.68%,0.46%,1.04%,2.23%,0.69%,0.03%,0.04%,0.88%,1.52%,1.50%,0.21%,0.91%,0.14%,0.77%,-0.10%,-0.85%,1.78%,1.75%,0.70%,-0.15%,1.89%,-0.03%,-1.40%,-0.24%,-0.72%,-0.07%,-0.36%
2022/12/12,0.87%,2.22%,-0.67%,1.64%,3.75%,2.54%,1.04%,1.73%,1.31%,1.37%,1.81%,1.12%,2.34%,1.36%,1.47%,1.59%,1.19%,1.55%,1.68%,0.17%,2.89%,2.42%,1.03%,1.53%,0.79%,1.24%,1.47%,2.82%,1.56%,1.86%
